"County","X1","X2","X3","X4","X5","X6","X7","X"
"Albany",47,46,45,42,20,11,NA,NA
"Allegany",5,61,26,51,NA,NA,NA,NA
"Bronx",31,60,41,30,NA,NA,NA,NA
"Broome",54,12,9,13,NA,NA,NA,NA
"Cattaraugus",7,15,61,2,NA,NA,NA,NA
"Cayuga",49,59,38,34,12,55,NA,NA
"Chautauqua",15,5,NA,NA,NA,NA,NA,NA
"Chemung",51,48,55,54,NA,NA,NA,NA
"Chenango",4,12,27,39,13,NA,NA,NA
"Clinton",17,16,NA,NA,NA,NA,NA,NA
"Columbia",14,56,20,1,42,NA,NA,NA
"Cortland",4,54,55,6,34,27,9,NA
"Delaware",4,9,39,47,20,56,53,NA
"Dutchess",40,36,56,11,NA,NA,NA,NA
"Erie",7,5,61,19,32,NA,NA,NA
"Essex",58,57,21,17,10,NA,NA,NA
"Franklin",10,16,21,50,NA,NA,NA,NA
"Fulton",22,21,45,29,NA,NA,NA,NA
"Genesee",32,37,28,26,61,15,NA,NA
"Greene",47,1,11,56,13,42,NA,NA
"Hamilton",22,50,17,16,57,45,18,NA
"Herkimer",39,33,25,50,21,18,29,NA
"Jefferson",50,25,38,NA,NA,NA,NA,NA
"Kings",43,31,41,NA,NA,NA,NA,NA
"Lewis",23,50,22,33,38,NA,NA,NA
"Livingston",61,19,28,35,51,2,NA,NA
"Madison",33,39,9,12,34,38,NA,NA
"Monroe",37,19,26,35,59,NA,NA,NA
"Montgomery",18,45,46,47,39,22,NA,NA
"Nassau",52,41,3,NA,NA,NA,NA,NA
"New York",3,41,24,43,NA,NA,NA,NA
"Niagara",37,19,15,NA,NA,NA,NA,NA
"Oneida",25,22,39,27,38,NA,NA,NA
"Onondaga",38,27,12,6,NA,NA,NA,NA
"Ontario",28,59,49,62,51,26,NA,NA
"Orange",53,56,14,40,60,44,NA,NA
"Orleans",32,19,28,NA,NA,NA,NA,NA
"Oswego",6,34,27,33,25,23,NA,NA
"Otsego",27,33,22,29,47,13,9,NA
"Putnam",14,36,44,60,NA,NA,NA,NA
"Queens",3,31,24,30,NA,NA,NA,NA
"Rensselaer",58,45,1,20,11,NA,NA,NA
"Richmond",31,24,NA,NA,NA,NA,NA,NA
"Rockland",36,40,60,NA,NA,NA,NA,NA
"Saratoga",18,21,57,58,42,1,46,29
"Schenectady",29,45,1,47,NA,NA,NA,NA
"Schoharie",29,46,1,20,13,39,NA,NA
"Schuyler",62,49,55,8,51,NA,NA,NA
"Seneca",59,6,55,48,62,35,NA,NA
"St Lawrence",23,25,22,21,17,NA,NA,NA
"Steuben",2,26,35,62,48,8,NA,NA
"Suffolk",30,NA,NA,NA,NA,NA,NA,NA
"Sullivan",13,56,36,NA,NA,NA,NA,NA
"Tioga",8,55,12,4,NA,NA,NA,NA
"Tompkins",48,49,6,12,54,8,NA,NA
"Ulster",13,20,14,36,53,11,NA,NA
"Warren",21,16,45,58,NA,NA,NA,NA
"Washington",57,45,42,16,NA,NA,NA,NA
"Wayne",28,35,49,6,NA,NA,NA,NA
"Westchester",40,44,3,36,NA,NA,NA,NA
"Wyoming",15,19,26,2,5,NA,NA,NA
"Yates",35,49,48,51,NA,NA,NA,NA
